epoch,step,phase,start_time,end_time,duration_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,1,data_transfer,1774931450.565328,1774931450.567404,2.076,5059.2,5200.0
1,1,forward,1774931450.5701258,1774931450.8759167,305.791,7096.5,7344.0
1,1,backward,1774931450.879019,1774931451.0687904,189.771,7655.9,9004.0
1,1,ema_update,1774931451.2305257,1774931451.257669,27.143,10203.4,15494.0
1,1,optimizer_step,1774931451.071649,1774931451.2610464,189.397,10203.4,15494.0
1,1,total_step,1774931450.5653038,1774931451.263554,698.250,10194.2,15494.0
1,2,data_transfer,1774931451.309487,1774931451.3099973,0.510,10203.4,15494.0
1,2,forward,1774931451.3128855,1774931451.4947228,181.837,13219.8,15494.0
1,2,backward,1774931451.498847,1774931451.6687582,169.911,12774.2,15534.0
1,2,ema_update,1774931451.7805443,1774931451.8077025,27.158,10203.4,16038.0
1,2,optimizer_step,1774931451.6722174,1774931451.811091,138.874,10203.4,16038.0
1,2,total_step,1774931451.3094723,1774931451.813978,504.506,10194.2,16038.0
1,3,data_transfer,1774931451.8536987,1774931451.8541906,0.492,10203.4,16038.0
1,3,forward,1774931451.8570862,1774931452.0215888,164.503,12115.0,16038.0
1,3,backward,1774931452.0248396,1774931452.142198,117.358,12768.7,16038.0
1,3,ema_update,1774931452.253837,1774931452.2808921,27.055,10203.4,16038.0
1,3,optimizer_step,1774931452.1455848,1774931452.2841601,138.575,10203.4,16038.0
1,3,total_step,1774931451.8536851,1774931452.2875686,433.883,10194.2,16038.0
1,4,data_transfer,1774931452.3197296,1774931452.3202095,0.480,10203.4,16038.0
1,4,forward,1774931452.3232174,1774931452.488784,165.567,12313.6,16038.0
1,4,backward,1774931452.492126,1774931452.6194398,127.314,12767.8,16038.0
1,4,ema_update,1774931452.7313364,1774931452.758413,27.077,10203.4,16038.0
1,4,optimizer_step,1774931452.6230173,1774931452.762818,139.801,10203.4,16038.0
1,4,total_step,1774931452.3197165,1774931452.7663298,446.613,10194.2,16038.0
1,5,data_transfer,1774931452.7932963,1774931452.7937732,0.477,10203.4,16038.0
1,5,forward,1774931452.796803,1774931452.9636796,166.877,12235.8,16038.0
1,5,backward,1774931452.9672265,1774931453.0938666,126.640,12768.2,16038.0
1,5,ema_update,1774931453.2051356,1774931453.2322154,27.080,10203.4,16038.0
1,5,optimizer_step,1774931453.096897,1774931453.2356932,138.796,10203.4,16038.0
1,5,total_step,1774931452.7932832,1774931453.2388825,445.599,10194.2,16038.0
1,6,data_transfer,1774931453.269887,1774931453.2703586,0.472,10203.4,16038.0
1,6,forward,1774931453.2747831,1774931453.4296489,154.866,12097.9,16038.0
1,6,backward,1774931453.4340644,1774931453.5557196,121.655,12769.9,16038.0
1,6,ema_update,1774931453.6673725,1774931453.6944487,27.076,10203.4,16038.0
1,6,optimizer_step,1774931453.5592508,1774931453.6979783,138.727,10203.4,16038.0
1,6,total_step,1774931453.2698743,1774931453.7013073,431.433,10194.2,16038.0
1,7,data_transfer,1774931453.732344,1774931453.7328188,0.475,10203.4,16038.0
1,7,forward,1774931453.735542,1774931453.8801093,144.567,11391.2,16038.0
1,7,backward,1774931453.884574,1774931453.9726655,88.092,12772.2,16038.0
1,7,ema_update,1774931454.0843425,1774931454.1114297,27.087,10203.4,16038.0
1,7,optimizer_step,1774931453.9760532,1774931454.1146479,138.595,10203.4,16038.0
1,7,total_step,1774931453.7323315,1774931454.1177182,385.387,10194.2,16038.0
1,8,data_transfer,1774931454.142175,1774931454.1426547,0.480,10203.4,16038.0
1,8,forward,1774931454.1453886,1774931454.3315,186.111,13283.7,16038.0
1,8,backward,1774931454.3349674,1774931454.5028443,167.877,12788.3,16038.0
1,8,ema_update,1774931454.614417,1774931454.6415138,27.097,10203.4,16116.0
1,8,optimizer_step,1774931454.5060961,1774931454.6447518,138.656,10203.4,16116.0
1,8,total_step,1774931454.1421623,1774931454.6483948,506.233,10194.2,16116.0
1,9,data_transfer,1774931454.6742265,1774931454.674699,0.473,10203.4,16116.0
1,9,forward,1774931454.6775045,1774931454.8313088,153.804,12036.8,16116.0
1,9,backward,1774931454.8347008,1774931454.9504766,115.776,12772.3,16116.0
